address,amount
0xc0b5567a1b15b2cdceaf25c632fde1f62091c944,8620152636.966211687082210543
0x1f238b47ab9fd915e5852601e83c6c1358297870,7147118581.157899074042632829
0xad0521a0c0e37b65887f83157fa100e384cbd4c8,4417371892.274869985746070971
0x4d477f1aabcfc2fc3fc9b802e861c013e0123ad9,4171809792.644985857945701938
0x5f366cdb73c7eb4cb2743d983e2c2f4523877b87,1452055109.006561117307429473
0xb30e51052c00a7050323ec94a4e01e094779c2f4,1103449478.389876838470303398
0xee1dce1f935b6d6342be6cde1c60dd95845908e5,750000000
0xd72ebfe87c1ce68ac88e3f1da40671ac81c075bc,501091763.901044356748407951
0x25ad2667b19e866109c1a93102b816730a6aec3f,324549315.125196349584567504
0xf9da49b600228cab30639d5cb1d10220bfe3aaee,30723948.23804558144319756
0x1e57fcae944c300a1c1ea4651d203768ad2cfa83,10977284.652786925723175667
0x0da2a82ed2c387d1751ccbaf999a80b65bdb269e,9661613.923707427443801
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,7034750.317083421854713709
0x59c43ca6d6d067dc352597914c6ca7598a6ba4ae,2188049.240653602425641056
0xffb8d84c6ea1bbff91edd2038fab847201fb5da7,304554.529282830364350908
0x71de2586a1564c32fbfce137d6e12a3f302f8650,14678.542100778373009779
0xa39253d0bd38550cdde7ed6ed2b6aa05db26814d,14514.933649744912536787
0xc61d6b546a3402cffc8cd2b46858d815b9cb6ddc,14514.931600778764178824
0xde7259893af7cdbc9fd806c6ba61d22d581d5667,10043.469912219960306365
